Geneid,ProteinID,TranscriptID
gene_458,2972288,2972772
gene_459,2972294,2972778
gene_461,2972313,2972797
gene_462,2972323,2972807
gene_463,2972347,2972831
gene_464,2972351,2972835
gene_468,2972372,2972856
gene_469,2972392,2972876
gene_470,2972411,2972895
gene_471,2972430,2972914
gene_472,2972438,2972922
gene_473,2972451,2972935
gene_474,2972457,2972941
gene_475,2972479,2972963
gene_482,2972609,2973093
gene_483,2972614,2973098
gene_484,2972623,2973107
gene_485,2972636,2973120
gene_486,2972650,2973134
gene_487,2972673,2973157
gene_488,2972690,2973174
gene_489,2972707,2973191
gene_490,2972712,2973196
gene_491,2972727,2973211
gene_492,2972761,2973245
gene_494,2972778,2973262
gene_495,2972792,2973276
gene_496,2972823,2973307
gene_497,2972854,2973338
gene_498,2972908,2973392
gene_499,2972926,2973410
gene_500,2972934,2973418
gene_501,2972968,2973452
gene_502,2972977,2973461
gene_503,2972991,2973475
gene_505,2973028,2973512
gene_506,2973049,2973533
gene_507,2973055,2973539
gene_509,2973073,2973557
gene_511,2973124,2973608
gene_512,2973139,2973623
gene_513,2973150,2973634
gene_515,2973176,2973660
gene_517,2973218,2973702
gene_518,2973221,2973705
gene_520,2973235,2973719
gene_521,2973236,2973720
gene_523,2973244,2973728
gene_524,2973253,2973737
gene_525,2973267,2973751
gene_527,2973302,2973786
gene_528,2973306,2973790
gene_529,2973320,2973804
gene_530,2973338,2973822
gene_532,2973385,2973869
gene_533,2973424,2973908
gene_537,2973531,2974015
gene_538,2973535,2974019
gene_539,2973555,2974039
gene_540,2973570,2974054
gene_541,2973572,2974056
gene_542,2973583,2974067
gene_543,2973595,2974079
gene_545,2973606,2974090
gene_546,2973611,2974095
gene_548,2973648,2974132
gene_550,2973690,2974174
gene_551,2973709,2974193
gene_552,2973735,2974219
gene_553,2973764,2974248
gene_554,2973779,2974263
gene_555,2973784,2974268
gene_557,2973806,2974290
gene_558,2973823,2974307
gene_559,2973830,2974314
gene_561,2973868,2974352
gene_562,2973897,2974381
gene_563,2973905,2974389
gene_565,2973931,2974415
gene_566,2973942,2974426
gene_567,2973954,2974438
gene_568,2973957,2974441
gene_569,2973991,2974475
gene_570,2974009,2974493
gene_571,2974019,2974503
gene_572,2974048,2974532
gene_573,2974059,2974543
gene_575,2974105,2974589
gene_576,2974109,2974593
gene_578,2974175,2974659
gene_579,2974199,2974683
gene_580,2974206,2974690
gene_581,2974224,2974708
gene_583,2974243,2974727
gene_584,2974259,2974743
gene_585,2974271,2974755
gene_586,2974278,2974762
gene_587,2974282,2974766
gene_588,2974289,2974773
gene_590,2974302,2974786
gene_591,2974307,2974791
gene_593,2974320,2974804
gene_594,2974326,2974810
gene_595,2974347,2974831
gene_596,2974350,2974834
gene_597,2974371,2974855
gene_598,2974379,2974863
gene_599,2974388,2974872
gene_605,2974412,2974896
gene_606,2974430,2974914
gene_607,2974444,2974928
gene_608,2974461,2974945
gene_609,2974475,2974959
gene_610,2974489,2974973
gene_614,2974524,2975008
gene_615,2974531,2975015
gene_616,2974535,2975019
gene_617,2974557,2975041
gene_618,2974562,2975046
gene_620,2974584,2975068
gene_623,2974634,2975118
gene_624,2974654,2975138
gene_625,2974668,2975152
gene_628,2974712,2975196
gene_630,2974732,2975216
gene_631,2974762,2975246
gene_632,2974783,2975267
gene_633,2974790,2975274
gene_634,2974794,2975278
gene_636,2974808,2975292
gene_637,2974810,2975294
gene_638,2974819,2975303
gene_640,2974839,2975323
gene_641,2974860,2975344
gene_642,2974867,2975351
gene_643,2974876,2975360
gene_644,2974879,2975363
gene_645,2974884,2975368
gene_646,2974898,2975382
gene_649,2974974,2975458
gene_650,2974980,2975464
gene_651,2974998,2975482
gene_652,2975016,2975500
gene_653,2975031,2975515
gene_654,2975036,2975520
gene_655,2975042,2975526
gene_656,2975063,2975547
gene_659,2975099,2975583
gene_660,2975105,2975589
gene_661,2975113,2975597
gene_662,2975119,2975603
gene_664,2975229,2975713
gene_666,2975237,2975721
gene_668,2975261,2975745
gene_669,2975275,2975759
gene_672,2975304,2975788
gene_673,2975316,2975800
gene_676,2975363,2975847
gene_678,2975378,2975862
gene_679,2975403,2975887
gene_680,2975440,2975924
gene_681,2975456,2975940
gene_682,2975461,2975945
gene_683,2975463,2975947
gene_685,2975472,2975956
gene_686,2975475,2975959
gene_691,2975512,2975996
gene_692,2975523,2976007
gene_693,2975528,2976012
gene_694,2975545,2976029
gene_695,2975564,2976048
gene_696,2975576,2976060
gene_698,2975629,2976113
gene_700,2975672,2976156
gene_703,2975723,2976207
gene_707,2975766,2976250
gene_708,2975771,2976255
gene_709,2975777,2976261
gene_711,2975820,2976304
gene_712,2975826,2976310
gene_713,2975843,2976327
gene_718,2975900,2976384
gene_719,2975918,2976402
gene_720,2975940,2976424
gene_721,2975948,2976432
gene_722,2975951,2976435
gene_724,2975964,2976448
gene_726,2976056,2976540
gene_728,2976131,2976615
gene_729,2976137,2976621
gene_730,2976152,2976636
gene_731,2976164,2976648
gene_732,2976171,2976655
gene_735,2976181,2976665
gene_736,2976198,2976682
gene_737,2976211,2976695
gene_738,2976222,2976706
gene_739,2976258,2976742
gene_741,2976273,2976757
gene_742,2976323,2976807
gene_743,2976338,2976822
gene_744,2976369,2976853
gene_745,2976383,2976867
gene_746,2976394,2976878
gene_747,2976404,2976888
gene_749,2976427,2976911
gene_750,2976440,2976924
gene_751,2976452,2976936
gene_752,2976469,2976953
gene_754,2976491,2976975
gene_755,2976497,2976981
gene_756,2976509,2976993
gene_757,2976511,2976995
gene_761,2976571,2977055
gene_762,2976581,2977065
gene_763,2976589,2977073
gene_764,2976593,2977077
gene_765,2976606,2977090
gene_766,2976611,2977095
gene_768,2976630,2977114
gene_769,2976633,2977117
gene_771,2976660,2977144
gene_772,2976663,2977147
gene_773,2976679,2977163
gene_774,2976692,2977176
gene_775,2976705,2977189
gene_776,2976710,2977194
gene_777,2976733,2977217
gene_778,2976748,2977232
gene_779,2976782,2977266
gene_780,2976789,2977273
gene_781,2976796,2977280
gene_782,2976813,2977297
gene_784,2976829,2977313
gene_785,2976847,2977331
gene_786,2976865,2977349
gene_787,2976887,2977371
gene_788,2976914,2977398
gene_789,2976919,2977403
gene_790,2976937,2977421
gene_792,2976951,2977435
gene_793,2976952,2977436
gene_794,2976955,2977439
gene_795,2976960,2977444
gene_796,2976961,2977445
gene_797,2976965,2977449
gene_799,2976985,2977469
gene_801,2977006,2977490
gene_802,2977044,2977528
gene_808,2977214,2977698
gene_809,2977220,2977704
gene_810,2977234,2977718
gene_811,2977236,2977720
gene_812,2977265,2977749
gene_813,2977276,2977760
gene_815,2977304,2977788
gene_816,2977313,2977797
gene_817,2977328,2977812
gene_818,2977340,2977824
gene_819,2977380,2977864
gene_820,2977427,2977911
gene_822,2977437,2977921
gene_823,2977451,2977935
gene_824,2977456,2977940
gene_825,2977465,2977949
gene_826,2977470,2977954
gene_827,2977481,2977965
gene_828,2977502,2977986
gene_829,2977508,2977992
gene_831,2977519,2978003
gene_832,2977533,2978017
gene_833,2977553,2978037
gene_834,2977562,2978046
gene_835,2977567,2978051
gene_836,2977594,2978078
gene_837,2977604,2978088
gene_838,2977617,2978101
gene_839,2977638,2978122
gene_840,2977644,2978128
gene_841,2977659,2978143
gene_842,2977664,2978148
gene_843,2977678,2978162
gene_844,2977688,2978172
gene_846,2977709,2978193
gene_847,2977717,2978201
gene_849,2977749,2978233
gene_850,2977768,2978252
gene_851,2977778,2978262
gene_852,2977798,2978282
gene_853,2977824,2978308
gene_854,2977827,2978311
gene_855,2977843,2978327
gene_856,2977852,2978336
gene_857,2977875,2978359
gene_858,2977881,2978365
gene_859,2977894,2978378
gene_860,2977899,2978383
gene_861,2977906,2978390
gene_862,2977919,2978403
gene_863,2977929,2978413
gene_864,2977939,2978423
gene_866,2977947,2978431
gene_867,2977960,2978444
gene_868,2977971,2978455
gene_869,2977979,2978463
gene_870,2977997,2978481
gene_871,2978015,2978499
gene_872,2978036,2978520
gene_873,2978054,2978538
gene_874,2978067,2978551
gene_876,2978159,2978643
gene_878,2978220,2978704
gene_880,2978234,2978718
gene_881,2978248,2978732
gene_888,2978265,2978749
gene_889,2978299,2978783
gene_890,2978309,2978793
gene_891,2978327,2978811
gene_896,2978348,2978832
gene_897,2978350,2978834
gene_900,2978362,2978846
gene_901,2978367,2978851
gene_902,2978375,2978859
gene_903,2978398,2978882
gene_904,2978404,2978888
gene_905,2978409,2978893
gene_906,2978418,2978902
gene_908,2978445,2978929
gene_916,2978498,2978982
gene_918,2978527,2979011
gene_919,2978536,2979020
gene_921,2978562,2979046
gene_922,2978569,2979053
gene_923,2978576,2979060
gene_925,2978599,2979083
gene_926,2978600,2979084
gene_930,2978694,2979178
gene_932,2978709,2979193
gene_935,2978763,2979247
gene_936,2978782,2979266
gene_937,2978796,2979280
gene_938,2978813,2979297
gene_940,2978833,2979317
gene_941,2978848,2979332
gene_942,2978855,2979339
gene_944,2978864,2979348
gene_946,2978891,2979375
gene_947,2978904,2979388
gene_948,2978913,2979397
gene_950,2978929,2979413
gene_951,2978939,2979423
gene_953,2978948,2979432
gene_954,2978978,2979462
gene_955,2978996,2979480
gene_956,2979003,2979487
gene_957,2979008,2979492
gene_958,2979033,2979517
gene_959,2979038,2979522
gene_960,2979048,2979532
gene_961,2979053,2979537
gene_963,2979080,2979564
gene_964,2979098,2979582
gene_965,2979103,2979587
gene_966,2979126,2979610
gene_967,2979154,2979638
gene_968,2979167,2979651
gene_969,2979189,2979673
gene_970,2979206,2979690
gene_972,2979243,2979727
gene_974,2979275,2979759
gene_975,2979284,2979768
gene_976,2979297,2979781
gene_977,2979306,2979790
gene_979,2979358,2979842
gene_980,2979379,2979863
gene_981,2979403,2979887
gene_982,2979411,2979895
gene_983,2979424,2979908
gene_984,2979436,2979920
gene_986,2979455,2979939
gene_987,2979456,2979940
gene_988,2979462,2979946
gene_989,2979470,2979954
gene_990,2979483,2979967
gene_992,2979487,2979971
gene_993,2979507,2979991
gene_994,2979556,2980040
gene_995,2979573,2980057
gene_996,2979577,2980061
gene_997,2979589,2980073
gene_998,2979611,2980095
gene_999,2979673,2980157
gene_1000,2979682,2980166
gene_1003,2979701,2980185
gene_1004,2979715,2980199
gene_1005,2979721,2980205
gene_1006,2979735,2980219
gene_1007,2979767,2980251
gene_1009,2979813,2980297
gene_1010,2979821,2980305
gene_1012,2979865,2980349
gene_1013,2979875,2980359
gene_1014,2979886,2980370
gene_1017,2979898,2980382
gene_1018,2979917,2980401
gene_1019,2979922,2980406
gene_1020,2979929,2980413
gene_1021,2979954,2980438
gene_1024,2979976,2980460
gene_1025,2979980,2980464
gene_1026,2979985,2980469
gene_1027,2979993,2980477
gene_1028,2979994,2980478
gene_1029,2980011,2980495
gene_1030,2980015,2980499
gene_1031,2980028,2980512
gene_1032,2980047,2980531
